"STUDY.ACCESSION","PUBMED.ID","DISEASE.TRAIT","INITIAL.SAMPLE.SIZE","MAPPED_TRAIT","NUMBER.OF.INDIVIDUALS","BROAD.ANCESTRAL.CATEGORY"
"GCST90018888",34594039,"Ovarian cancer","1,588 European ancestry cases, 244,932 European ancestry controls, 843 East Asian ancestry cases, 60,614 East Asian ancestry controls","ovarian carcinoma",61457,"East Asian"
"GCST90018888",34594039,"Ovarian cancer","1,588 European ancestry cases, 244,932 European ancestry controls, 843 East Asian ancestry cases, 60,614 East Asian ancestry controls","ovarian carcinoma",246520,"European"
"GCST90018893",34594039,"Pancreatic cancer","1,196 European ancestry cases, 475,049 European ancestry controls, 499 East Asian ancestry cases, 159,201 East Asian ancestry controls","pancreatic carcinoma",159700,"East Asian"
"GCST90018893",34594039,"Pancreatic cancer","1,196 European ancestry cases, 475,049 European ancestry controls, 499 East Asian ancestry cases, 159,201 East Asian ancestry controls","pancreatic carcinoma",476245,"European"
"GCST90018898",34594039,"Pharyngeal and laryngeal cancer","329 European ancestry cases, 355,235 European ancestry controls, 300 East Asian ancestry cases, 178,426 East Asian ancestry controls","pharynx cancer, laryngeal carcinoma",355564,"European"
"GCST90018898",34594039,"Pharyngeal and laryngeal cancer","329 European ancestry cases, 355,235 European ancestry controls, 300 East Asian ancestry cases, 178,426 East Asian ancestry controls","pharynx cancer, laryngeal carcinoma",178726,"East Asian"
"GCST90018905",34594039,"Prostate cancer","11,599 European ancestry cases, 199,628 European ancestry controls, 5,672 East Asian ancestry cases, 84,660 East Asian ancestry controls","prostate carcinoma",90332,"East Asian"
"GCST90018905",34594039,"Prostate cancer","11,599 European ancestry cases, 199,628 European ancestry controls, 5,672 East Asian ancestry cases, 84,660 East Asian ancestry controls","prostate carcinoma",211227,"European"
"GCST90018908",34594039,"Pulmonary fibrosis","1,566 European ancestry cases, 467,560 European ancestry controls, 126 East Asian ancestry cases, 176,974 East Asian ancestry controls","pulmonary fibrosis",177100,"East Asian"
"GCST90018908",34594039,"Pulmonary fibrosis","1,566 European ancestry cases, 467,560 European ancestry controls, 126 East Asian ancestry cases, 176,974 East Asian ancestry controls","pulmonary fibrosis",469126,"European"
"GCST90018921",34594039,"Skin cancer","25,928 European ancestry cases, 466,275 European ancestry controls, 154 East Asian ancestry cases, 178,572 East Asian ancestry controls","skin neoplasm",492203,"European"
"GCST90018921",34594039,"Skin cancer","25,928 European ancestry cases, 466,275 European ancestry controls, 154 East Asian ancestry cases, 178,572 East Asian ancestry controls","skin neoplasm",178726,"East Asian"
"GCST90018929",34594039,"Thyroid cancer","1,054 European ancestry cases, 490,920 European ancestry controls, 361 East Asian ancestry cases, 178,362 East Asian ancestry controls","thyroid carcinoma",491974,"European"
"GCST90018929",34594039,"Thyroid cancer","1,054 European ancestry cases, 490,920 European ancestry controls, 361 East Asian ancestry cases, 178,362 East Asian ancestry controls","thyroid carcinoma",178723,"East Asian"
"GCST90018934",34594039,"Uterine fibroids","21,024 European ancestry cases, 237,694 European ancestry controls, 14,475 East Asian ancestry cases, 65,733 East Asian ancestry controls","uterine fibroid",80208,"East Asian"
"GCST90018934",34594039,"Uterine fibroids","21,024 European ancestry cases, 237,694 European ancestry controls, 14,475 East Asian ancestry cases, 65,733 East Asian ancestry controls","uterine fibroid",258718,"European"
"GCST90020047",34319593,"Glioma","485 Han Chinese ancestry cases, 485 Han Chinese ancestry controls","glioma",970,"East Asian"
"GCST90020048",32882024,"Childhood acute lymphoblastic leukemia (TCF3-PBX1 fusion)","40 European ancestry cases, 2,057 European ancestry controls","B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)",2097,"European"
"GCST90020049",32882024,"TCF3-PBX1 fusion in childhood acute lymphoblastic leukemia","40 European ancestry cases, 1,454 European ancestry controls","B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1)",1494,"European"
"GCST90020096",34220922,"Acute myeloid leukemia or myelodysplastic syndrome (pleiotropy)","1,769 European ancestry acute myeloid leukemia cases, 540 myelodysplastic syndrome cases, 2,814 European ancestry controls","acute myeloid leukemia, myelodysplastic syndrome",5123,"European"
"GCST90020097",34220922,"Therapy-related myelodysplastic syndrome","96 European ancestry cases, 2,814 European ancestry controls","myelodysplastic syndrome",2910,"European"
"GCST90020098",34220922,"De novo myelodysplastic syndrome","444 European ancestry cases, 2,814 European ancestry controls","myelodysplastic syndrome",3258,"European"
"GCST90025870",32675224,"Non-hodgkin's lymphoma in HIV infection","278 European ancestry cases, 1,924 European ancestry controls","non-Hodgkins lymphoma",2202,"European"
"GCST90026461",34234117,"Breast cancer","9,241 African ancestry cases, 10,193 African ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","breast carcinoma",19434,"African unspecified"
"GCST90026461",34234117,"Breast cancer","9,241 African ancestry cases, 10,193 African ancestry controls, 122,977 European ancestry cases, 105,974 European ancestry controls","breast carcinoma",228951,"European"
"GCST90026462",34234117,"Breast cancer (estrogen-receptor positive)","4,299 African ancestry cases, 10,193 African ancestry controls, 69,501 European ancestry cases, 105,974 European ancestry controls","estrogen-receptor positive breast cancer",14492,"African unspecified"
"GCST90026462",34234117,"Breast cancer (estrogen-receptor positive)","4,299 African ancestry cases, 10,193 African ancestry controls, 69,501 European ancestry cases, 105,974 European ancestry controls","estrogen-receptor positive breast cancer",175475,"European"
"GCST90026463",34234117,"Breast cancer (estrogen-receptor negative)","2,636 African ancestry cases, 10,193 African ancestry controls, 21,468 European ancestry cases, 105,974 European ancestry controls","estrogen-receptor negative breast cancer",12829,"African unspecified"
"GCST90026463",34234117,"Breast cancer (estrogen-receptor negative)","2,636 African ancestry cases, 10,193 African ancestry controls, 21,468 European ancestry cases, 105,974 European ancestry controls","estrogen-receptor negative breast cancer",127442,"European"
"GCST90026464",34234117,"Breast cancer","9,241 African ancestry cases, 10,193 African ancestry controls","breast carcinoma",19434,"African unspecified"
"GCST90026465",34234117,"Breast cancer (estrogen-receptor positive)","4,299 African ancestry cases, 10,193 African ancestry controls","estrogen-receptor positive breast cancer",14492,"African unspecified"
"GCST90026466",34234117,"Breast cancer (estrogen-receptor negative)","2,636 African ancestry cases, 10,193 African ancestry controls","estrogen-receptor negative breast cancer",12829,"African unspecified"
"GCST90026467",34234117,"Breast cancer","122,977 European ancestry cases, 105,974 European ancestry controls","breast carcinoma",228951,"European"
"GCST90026468",34234117,"Breast cancer (estrogen-receptor positive)","69,501 European ancestry cases, 105,974 European ancestry controls","estrogen-receptor positive breast cancer",175475,"European"
"GCST90026469",34234117,"Breast cancer (estrogen-receptor negative)","21,468 European ancestry cases, 105,974 European ancestry controls","estrogen-receptor negative breast cancer",127442,"European"
"GCST90026648",34216462,"Pancreatic ductal adenocarcinoma","7,207 European ancestry cases, 7,062 European ancestry controls","pancreatic ductal adenocarcinoma",14269,"European"
"GCST90027051",34290314,"Cancer","56,634 White British ancestry cases, 218,196 White British ancestry controls","cancer",274830,"European"
"GCST90027052",34290314,"Breast cancer","10,682 White British ancestry cases, 138,504 White British ancestry controls","breast carcinoma",149186,"European"
"GCST90027053",34290314,"Chronic lymphocytic leukemia","764 White British ancestry cases, 272,079 White British ancestry controls","chronic lymphocytic leukemia",274830,"European"
"GCST90027054",34290314,"Colorectal cancer","3,351 White British ancestry cases, 271,479 White British ancestry controls","colorectal cancer",274830,"European"
"GCST90027055",34290314,"Epithelial ovarian cancer","1,112 White British ancestry cases, 147,944 White British ancestry controls","ovarian carcinoma",149186,"European"
"GCST90027056",34290314,"Lung cancer","2,479 White British ancestry cases, 272,351 White British ancestry controls","lung carcinoma",274830,"European"
"GCST90027057",34290314,"Melanoma","3,122 White British ancestry cases, 271,708 White British ancestry controls","melanoma",274830,"European"
"GCST90027058",34290314,"Non-melanoma skin cancer","18,944 White British ancestry cases, 255,886 White British ancestry controls","non-melanoma skin carcinoma",274830,"European"
"GCST90027059",34290314,"Pancreatic cancer","768 White British ancestry cases, 264,559 White British ancestry controls","pancreatic carcinoma",274830,"European"
"GCST90027060",34290314,"Prostate cancer","7,438 White British ancestry cases, 118,206 White British ancestry controls","prostate carcinoma",125644,"European"
"GCST90029042",34407845,"15-year breast cancer-specific survival","91,686 European ancestry individuals","survival time, breast carcinoma",91686,"European"
"GCST90029043",34407845,"15-year breast cancer-specific survival (<40 years)","7,281 European ancestry individuals","survival time, breast carcinoma",7281,"European"
"GCST90029044",34407845,"15-year breast cancer-specific survival (grade 3 tumor)","22,737 European ancestry individuals","survival time, breast carcinoma",22737,"European"
"GCST90029045",34407845,"15-year breast cancer-specific survival (ER positive treated with endocrine therapy)","30,137 European ancestry individuals","survival time, estrogen-receptor positive breast cancer, breast carcinoma, response to endocrine therapy",30137,"European"
"GCST90029046",34407845,"15-year breast cancer-specific survival (ER negative treated with chemotherapy)","6,852 European ancestry individuals","estrogen-receptor negative breast cancer, survival time, breast carcinoma, response to antineoplastic agent",6852,"European"
"GCST90029047",34407845,"15-year breast cancer-specific survival (ER positive, PR positive, and HER2 negative)","35,550 European ancestry individuals","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer",35550,"European"
"GCST90029048",34407845,"15-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative treated with chemotherapy)","10,394 European ancestry individuals","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer, response to antineoplastic agent",10394,"European"
"GCST90029049",34407845,"15-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative not treated with chemotherapy)","10,275 European ancestry individuals","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer",10275,"European"
"GCST90029050",34407845,"15-year breast cancer-specific survival (ER positive or PR positive, and HER2 positive)","5,567 European ancestry individuals","survival time, HER2 Positive Breast Carcinoma, estrogen-receptor positive breast cancer, breast carcinoma, progesterone-receptor positive breast cancer",5567,"European"
"GCST90029051",34407845,"15-year breast cancer-specific survival (ER negative or PR negative, and HER2 positive)","2,298 European ancestry individuals","progesterone-receptor negative breast cancer, estrogen-receptor negative breast cancer, survival time, HER2 Positive Breast Carcinoma, breast carcinoma",2298,"European"
"GCST90029052",34407845,"15-year breast cancer-specific survival (ER negative or PR negative, and HER2 negative)","5,631 European ancestry individuals","survival time, breast carcinoma, triple-negative breast cancer",5631,"European"
"GCST90029053",34407845,"15-year breast cancer-specific survival (treated with tamoxifen)","17,327 European ancestry individuals","response to tamoxifen, survival time, breast carcinoma",17327,"European"
"GCST90029054",34407845,"15-year breast cancer-specific survival (treated with aromatase inhibitor)","9,041 European ancestry individuals","survival time, response to aromatase inhibitor, breast carcinoma",9041,"European"
"GCST90029055",34407845,"15-year breast cancer-specific survival (treated with Cyclophosphamide Methotrexate Fluorouracil (CMF)-like chemotherapy regimen)","2,663 European ancestry individuals","survival time, response to combination chemotherapy, breast carcinoma",2663,"European"
"GCST90029056",34407845,"15-year breast cancer-specific survival (treated with taxane)","5,545 European ancestry individuals","survival time, breast carcinoma, response to taxane",5545,"European"
"GCST90029057",34407845,"15-year breast cancer-specific survival (treated with anthracyclines)","11,183 European ancestry individuals","survival time, breast carcinoma, response to anthracycline-based chemotherapy",11183,"European"
